ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason
XLK,2022-01-19,2022-01-21,78.574,75.9755,63.63429390896369,-165.3526,-0.0331,regime_stop
XLY,2022-01-19,2022-01-21,93.425,89.2877,42.815113540201395,-177.1371,-0.0443,stop_loss
XLRE,2022-01-20,2022-01-21,41.0733,40.79,77.90944365006452,-22.0705,-0.0069,regime_stop
XLK,2022-01-24,2022-01-25,73.4758,73.562,67.0572862532862,5.7769,0.0012,regime_stop
XLP,2023-05-25,2023-06-15,67.3928,68.2558,73.12715444872514,63.1071,0.0128,rsi_crossover
XLK,2023-08-11,2023-08-23,81.902,82.5706,60.32655238847866,40.337,0.0082,rsi_crossover
XLY,2023-08-17,2023-08-29,81.3484,80.7638,48.589678417872555,-28.406,-0.0072,rsi_crossover
XLY,2023-09-22,2023-10-13,80.126,79.0962,61.69350543009754,-63.5295,-0.0129,time_stop
XLK,2023-09-26,2023-10-06,80.6303,80.6185,49.046110965110415,-0.5775,-0.0001,rsi_crossover
XLV,2024-04-12,2024-05-03,135.7006,136.3477,36.33315103474257,23.5118,0.0048,time_stop
XLF,2024-04-16,2024-04-22,38.7003,39.3498,101.92010356557923,66.192,0.0168,rsi_crossover
XLK,2024-04-18,2024-05-03,98.1959,99.8742,32.13449667768367,53.9337,0.0171,rsi_crossover
XLY,2024-04-18,2024-04-29,84.9357,88.232,29.721079664434967,97.971,0.0388,rsi_crossover
XLC,2024-07-25,2024-07-31,81.637,83.748,48.78915964785164,102.9919,0.0259,rsi_crossover
XLK,2024-07-25,2024-08-05,106.7111,94.9162,46.65637468423278,-550.3039,-0.1105,signal_exit_other
XLI,2024-12-18,2025-01-13,133.6473,128.3946,29.266807397526005,-153.7303,-0.0393,stop_loss
XLF,2024-12-18,2024-12-26,48.0857,47.8306,101.67862636417081,-25.9388,-0.0053,rsi_crossover
XLU,2024-12-18,2025-01-13,36.7163,36.4286,85.22498987591153,-24.5184,-0.0078,time_stop
XLRE,2024-12-18,2025-01-13,40.1876,37.5559,62.29068044550442,-163.9303,-0.0655,time_stop
XLY,2025-02-26,2025-03-10,107.8479,100.3979,44.65239692198325,-332.6565,-0.0691,regime_stop
XLI,2025-03-04,2025-03-10,130.8063,130.3118,29.452180756413732,-14.5644,-0.0038,regime_stop
XLY,2025-11-18,2025-11-25,112.6316,113.7883,42.139339765284596,48.7432,0.0103,rsi_crossover
XLK,2025-11-20,2025-11-28,143.3958,141.7274,26.47899563428328,-44.1766,-0.0116,rsi_crossover
XLU,2025-12-08,2025-12-30,42.7799,42.561,110.96657273460832,-24.2864,-0.0051,time_stop
XLK,2026-02-05,2026-02-25,137.1181,141.1139,34.585341378777066,138.1939,0.0291,rsi_crossover
XLV,2026-03-12,2026-03-20,151.4036,145.8073,31.504649364447854,-176.3066,-0.037,stop_loss
XLI,2026-03-13,2026-03-20,165.907,163.4786,23.00043794278792,-55.8525,-0.0146,regime_stop
XLB,2026-03-13,2026-03-20,49.8334,47.6143,61.25904021627007,-135.9382,-0.0445,stop_loss
